factor,observations,mean,std,min,p01,median,p99,max
amihud_illiquidity_20,4302509,-15.631193112572168,1.1218104340945305,-20.758885485899988,-18.64417249224966,-15.536165229917044,-13.433770392291319,-2.2937860454319634
amount_change_5_20,4304190,-0.057275113794464996,0.37077381284917765,-3.512096033657555,-0.9411748427250067,-0.06889278316845149,0.9063079664567498,1.3792119930649496
low_volatility_20,4302509,-0.025078617790114027,0.012231586030278706,-0.23348093231697573,-0.062176463219463574,-0.022434683614537314,-0.0071512838431527824,-6.506013941788916e-05
momentum_20,4302509,0.011139719969516711,0.1325284661177647,-0.8771929824561404,-0.2506094854255205,-0.0019213098320943756,0.4436517216651903,5.733412322274882
momentum_60_skip_5,4236530,0.02898593265387045,0.21754269480172744,-0.8881703470031546,-0.3338132505926324,-0.0029850746268655914,0.7834937184958133,16.166666666666668
overnight_reversal_5,4328352,0.003053540720389221,0.0346293293475528,-0.4807871146467634,-0.09902080627978821,0.002275369214439059,0.1104864976788188,0.8589157724623114
reversal_5,4328352,-0.0030161793595541915,0.06706121781429436,-0.8269230769230769,-0.22200956937799043,0.00127469725940077,0.15755115196937858,0.6463120049435425
